Gene	Annotation	Naive_p	Bonferroni_p	Sensitivity	Specificity	Odds_ratio
group_11717	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
cusR	Transcriptional regulatory protein CusR	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_22089	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
yihI	Der GTPase-activating protein YihI	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_20137	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_18664	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_18662	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
yknZ	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
aaeA_1	p-hydroxybenzoic acid efflux pump subunit AaeA	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_18654	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_18650	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
pxpA_3	5-oxoprolinase subunit A	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_18648	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
glnQ_6	Glutamine transport ATP-binding protein GlnQ	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_18645	Bifunctional cytochrome P450/NADPH--P450 reductase	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_18642	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_18639	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
pulG_2	Type II secretion system protein G	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
rhaS_5	HTH-type transcriptional activator RhaS	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_22109	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_22110	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_22133	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_7426	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_22223	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
ribN	Riboflavin transporter	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
glnH_1	ABC transporter glutamine-binding protein GlnH	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_22211	5-oxoprolinase subunit B	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_22210	5-oxoprolinase subunit C	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
group_22208	hypothetical protein	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
artQ_3	Arginine transport system permease protein ArtQ	9.048941336557276e-72	3.094195000622395e-67	100.0	100.0	inf
