Gene	Annotation	Naive_p	Bonferroni_p	Sensitivity	Specificity	Odds_ratio
hflK	Modulator of FtsH protease HflK	2.1052003354284786e-52	7.198522026964139e-48	0.0	0.0	0.0
group_16554	putative Nudix hydrolase NudL	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_16560	Glutaredoxin 2	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_16564	Protein YeeZ	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_16565	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_16566	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_16590	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_16592	Secretion monitor	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_18211	HTH-type transcriptional regulator AcrR	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
menE_1	2-succinylbenzoate--CoA ligase	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_18264	Biofilm growth-associated repressor	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
ufaA1	Tuberculostearic acid methyltransferase UfaA1	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_18283	Minor endoglucanase Y	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_18284	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_21607	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_2347	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_2580	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_2782	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_3951	Glycine cleavage system transcriptional activator	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_4052	Intermembrane transport lipoprotein PqiC	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_4062	Protein Ves	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_4354	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_4847	Regulator of ribonuclease activity A	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_5348	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_5353	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_5885	Thiamine kinase	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_16548	hypothetical protein	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_16526	Pirin-like protein YhaK	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_16516	HTH-type transcriptional activator RhaS	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
group_16514	Inner membrane protein YidH	2.1052003354284786e-52	7.198522026964139e-48	100.0	100.0	inf
