Gene	Annotation	Naive_p	Bonferroni_p	Sensitivity	Specificity	Odds_ratio
pgl_2	6-phosphogluconolactonase	1.439384928732975e-54	4.921832825309535e-50	100.0	95.0	inf
eptB	Kdo(2)-lipid A phosphoethanolamine 7''-transferase	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
argO	Arginine exporter protein ArgO	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
xcpW	Type II secretion system protein J	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
yccU	putative protein YccU	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
group_9456	hypothetical protein	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
yigZ	IMPACT family member YigZ	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
yqjE	Inner membrane protein YqjE	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
celY	Minor endoglucanase Y	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
group_8334	hypothetical protein	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
group_7610	hypothetical protein	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
bioD1_1	ATP-dependent dethiobiotin synthetase BioD 1	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
group_7477	hypothetical protein	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
degA_1	HTH-type transcriptional regulator DegA	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
group_9578	hypothetical protein	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
nrdI	Protein NrdI	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
sufD	FeS cluster assembly protein SufD	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
csdA	Cysteine desulfurase CsdA	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
yybR_2	hypothetical protein	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
outS	Pilotin OutS	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
sufB	FeS cluster assembly protein SufB	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
yghB	Inner membrane protein YghB	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
nrdF	Ribonucleoside-diphosphate reductase 2 subunit beta	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
scaC	Manganese import ATP-binding protein ScaC	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
group_5128	hypothetical protein	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
sbnE	hypothetical protein	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
fepB	Ferrienterobactin-binding periplasmic protein	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
sufA	Protein SufA	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
sufE	Cysteine desulfuration protein SufE	7.412832382974309e-53	2.5347439050342347e-48	100.0	93.33333333333331	inf
dsbD	Thiol:disulfide interchange protein DsbD	3.0689126065508825e-51	1.0493839766840087e-46	100.0	91.66666666666666	inf
