#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/work/inputs/D_solani_001644705_1.fna	NZ_CP015137.1	298456	299442	+	fliG	13-999/999	========/======	2/6	98.50	80.20	vfdb	WP_008500327	(fliG) flagellar motor switch protein FliG [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/work/inputs/D_solani_001644705_1.fna	NZ_CP015137.1	324483	324872	-	cheY	1-390/390	===============	0/0	100.00	81.80	vfdb	WP_005164479	(cheY) chemotaxis regulatory protein CheY [Flagella (VF0394) - Motility (VFC0204)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
/work/inputs/D_solani_001644705_1.fna	NZ_CP015137.1	1043275	1044266	-	rpoS	2-993/993	===============	0/0	99.90	80.95	vfdb	NP_461845	(rpoS) RNA polymerase sigma factor RpoS [RpoS (VF0112) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/work/inputs/D_solani_001644705_1.fna	NZ_CP015137.1	3034601	3035119	-	hcp1	1-519/519	===============	0/0	100.00	85.36	vfdb	WP_011705044	(hcp1) HcpA-like protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_solani_001644705_1.fna	NZ_CP015137.1	3430337	3430987	-	rcsB	1-651/651	===============	0/0	100.00	82.64	vfdb	WP_002913007	(rcsB) transcriptional regulator RcsB [RcsAB (VF0571) - Regulation (VFC0301)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/work/inputs/D_solani_001644705_1.fna	NZ_CP015137.1	3517985	3518419	-	fur	1-435/453	===============	0/0	96.03	81.15	vfdb	NP_459678	(fur) ferric iron uptake transcriptional regulator [Fur (VF0113) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/work/inputs/D_solani_001644705_1.fna	NZ_CP015137.1	3628854	3630260	+	gndA	1-1407/1407	========/======	4/10	99.64	80.03	vfdb	WP_014907233	(gndA) NADP-dependent phosphogluconate dehydrogenase [Capsule (VF0560) - Immune modulation (VFC0258)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/work/inputs/D_solani_001644705_1.fna	NZ_CP015137.1	3663215	3663733	+	hcp	1-519/519	===============	0/0	100.00	85.55	vfdb	WP_011705706	(hcp) hemolysin co-regulated protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_solani_001644705_1.fna	NZ_CP015137.1	3682008	3683486	+	vipB	1-1479/1479	===============	0/0	100.00	83.44	vfdb	WP_043163044	(vipB) Type VI secretion system contractile sheath large subunit TssC/VipB [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_solani_001644705_1.fna	NZ_CP015137.1	3688426	3689761	+	atsL	1-1333/1335	========/======	3/7	99.70	80.87	vfdb	WP_011705719	(atsL) Type VI secretion system protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_solani_001644705_1.fna	NZ_CP015137.1	4069435	4069953	+	hcp1	1-519/519	===============	0/0	100.00	86.51	vfdb	WP_011705044	(hcp1) HcpA-like protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
