Desc	Family ID	GCF_000023565.1	GCF_000025065.1	GCF_017897605.1	GCF_020520245.1	GCF_012278555.1	GCF_019444095.1	GCF_024124775.1	GCF_019464635.1	GCF_000382585.2	GCF_038396405.1	GCF_000406165.1	GCF_051783745.1	GCF_051043325.1	GCF_000406325.1	GCF_020406575.2	GCF_021614795.1	GCF_000400525.1	GCF_002887555.1	GCF_021614775.1	GCF_000264075.1	GCF_000816045.1	GCF_000404105.1	GCF_009372235.1	GCF_051783785.1	GCF_012278405.1	GCF_054589655.1	GCF_024124785.1	GCF_023212925.1	GCF_054589695.1	GCF_054589815.1	GCF_054589775.1	GCF_000406045.1	GCF_017897245.1	GCF_020406815.2	GCF_020406685.2	GCF_000406225.1	GCF_017897305.1	GCF_017897585.1	GCF_019464615.1	GCF_045676465.1	GCF_045676475.1	GCF_038739125.1	GCF_045677265.1	GCF_045677275.1	GCF_045676455.1	GCF_045677285.1	GCF_054589915.1	GCF_000147055.1	GCF_030168535.1	GCF_001995275.1	GCF_020047155.1	GCF_013168465.1	GCF_013168475.1	GCF_009903315.1	GCF_013168495.1	GCF_023507855.1	GCF_000406145.1	GCF_003049785.1	GCF_041897765.1	GCF_041897775.1	GCF_000406265.1	GCF_013168575.1	GCF_037135975.1	GCF_037136715.1	GCF_037136875.1	GCF_037136695.1	GCF_013168455.1	GCF_013168485.1	GCF_000406185.1	GCF_051783845.1	GCF_018904205.1	GCF_020406675.1	GCF_025643375.1	GCF_000365285.1	GCF_000400795.1	GCF_000365345.1	GCF_016404895.1	GCF_013339815.1	GCF_027920765.2	GCF_016404945.1	GCF_016404885.1	GCF_016404925.1	GCF_000831935.2	GCF_009874395.1	GCF_001644705.1	GCF_013339795.1	GCF_009874305.1	GCF_013334125.1	GCF_009874405.1	GCF_003718335.1	GCF_013334185.1	GCF_003600995.1	GCF_027920785.2	GCF_003600975.1	GCF_048398235.1	GCF_002921195.1	GCF_002846975.1	GCF_013334145.1	GCF_017161585.1	GCF_009873555.1	GCF_001417915.1	GCF_009874415.1	GCF_002924265.1	GCF_033099915.1	GCF_000511285.2	GCF_000474655.1	GCF_000400565.1	GCF_001506125.1	GCF_002846995.1	GCF_013339875.1	GCF_014751545.1	GCF_001401695.1	GCF_026891405.1	GCF_026891395.1	GCF_026891415.1	GCF_026891295.1	GCF_001401705.2	GCF_033100035.1	GCF_033099975.1	GCF_033100015.1	GCF_033099995.1	GCF_026891515.1	GCF_020406975.1	GCF_032681045.1	GCF_000365305.1	GCF_002706485.1	GCF_000975305.1	GCF_022747685.1	GCF_020406895.2	GCF_051783825.1	GCF_018596235.1	GCF_000365365.1	GCF_022747985.1	GCF_022748395.1	GCF_022748385.1	GCF_022748025.1	GCF_022748425.1	GCF_022747695.1	GCF_022747745.1	GCF_022748005.1	GCF_022748555.1	GCF_000365405.2	GCF_022748525.1	GCF_022747785.1	GCF_009873535.1	GCF_022747755.1	GCF_022748465.1	GCF_002906725.1	GCF_018361225.1	GCF_016106715.1	GCF_016106685.1	GCF_018361045.1	GCF_016106895.1	GCF_018361125.1	GCF_016106855.1	GCF_016106725.1	GCF_018361085.1	GCF_016106805.1	GCF_016106795.1	GCF_037136355.1	GCF_037136435.1	GCF_016106945.1	GCF_016106695.1	GCF_018361185.1	GCF_018361105.1	GCF_016106885.1	GCF_016106815.1	GCF_018361065.1	GCF_018361165.1	GCF_016106925.1	GCF_018361245.1	GCF_018361145.1	GCF_037136735.1	GCF_037136295.1	GCF_016106995.1	GCF_037136535.1	GCF_018361205.1	GCF_016106935.1	GCF_037136915.1	GCF_018628895.1	GCF_003403135.1	GCF_046825115.1	GCF_046825195.1	GCF_037136975.1	GCF_002906735.1	GCF_016106785.1	GCF_016106985.1	GCF_022750655.1	GCF_003595005.1	GCF_022871065.1	GCF_022747725.1	GCF_022748085.1	GCF_022747825.1	GCF_003595075.1	GCF_003121805.1	GCF_022748065.1	GCF_000430955.1	GCF_022748045.1	GCF_022748365.1	GCF_009873515.1	GCF_009874325.1	GCF_018596245.1	GCF_018596255.1	GCF_018596285.1	GCF_037135575.1	GCF_009873565.1	GCF_022748125.1	GCF_022747795.1	GCF_009874285.1	GCF_022748105.1	GCF_014893095.1	GCF_000406205.1	GCF_030544745.1	GCF_000406305.1	GCF_024971955.1	GCF_001187975.3	GCF_003049805.1	GCF_001187965.2	GCF_003628775.1	GCF_050876925.1	GCF_002812485.1	GCF_014854775.1	GCF_014854755.1	GCF_014642955.1	GCF_033464845.1	GCF_033373275.1	GCF_009873225.2	GCF_017656535.1	GCF_022385255.1	GCF_029320885.1	GCF_040257575.1	GCF_053502525.1	GCF_000758345.1	GCF_000774065.1	GCF_045277095.1	GCF_000803195.1	GCF_000784735.1	GCF_003725575.1	GCF_003725615.1	GCF_051783765.1	GCF_000406085.2	GCF_900095885.1	GCF_000406285.1	GCF_003934295.1	GCF_051783805.1	GCF_029635795.1	GCF_027571425.1	GCF_000406125.1	GCF_007858975.2	GCF_012273755.1	GCF_000406105.1	GCF_019739115.1	GCF_051783865.1	GCF_020406775.2	GCF_037136455.1	GCF_037135635.1	GCF_000406065.1	GCF_000784725.1	GCF_007210685.1	GCF_030370035.1	GCF_037136815.1	GCF_000406245.1
VFDB	atsH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
VFDB	atsL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
VFDB	cheY	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
VFDB	east1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
VFDB	fliG	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFDB	fur	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
VFDB	gndA	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFDB	hcp	3	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	2	1	1	1	0	1	1	1	0	0	2	0	0	0	0	0	0	1	1	1	0	2	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	2	2	2	2	2	0	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	2	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	2	2	2	2	2	2	0	1	0	1	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
VFDB	hcp1	2	2	2	2	2	3	1	1	4	4	2	2	2	1	2	3	2	3	3	1	1	2	2	3	2	1	2	3	2	0	2	2	3	3	3	2	3	0	3	3	3	2	1	1	3	3	3	2	3	0	2	0	0	2	1	3	3	2	4	3	2	1	2	2	2	2	2	2	3	3	3	2	2	2	0	2	2	2	2	1	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	1	1	2	0	1	0	1	2	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	2	5	5	2	2	2	2	3	2	2	0	0	0	0	0	1	3	1	3	4	3	1	2	2	4	4	3	1	0	2	0	0	0	0	0	0	0	0	0	0	3	2	2	4	3	2	2	0	4	0	1	2
VFDB	hcp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
