#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	480420	480938	+	hcp	1-519/519	===============	0/0	100.00	85.74	vfdb	WP_011705706	(hcp) hemolysin co-regulated protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	974696	975687	+	rpoS	2-993/993	===============	0/0	99.90	81.55	vfdb	NP_461845	(rpoS) RNA polymerase sigma factor RpoS [RpoS (VF0112) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	1329170	1329688	-	hcp1	1-519/519	===============	0/0	100.00	86.70	vfdb	WP_011705044	(hcp1) HcpA-like protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	1717937	1718455	+	hcp	1-519/519	===============	0/0	100.00	86.32	vfdb	WP_011705706	(hcp) hemolysin co-regulated protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	1764987	1765376	+	cheY	1-390/390	===============	0/0	100.00	80.51	vfdb	WP_005164479	(cheY) chemotaxis regulatory protein CheY [Flagella (VF0394) - Motility (VFC0204)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	2918466	2918984	+	hcp1	1-519/519	===============	0/0	100.00	85.93	vfdb	WP_011705044	(hcp1) HcpA-like protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	3182627	3183962	-	atsL	1-1333/1335	========/======	2/3	99.85	81.21	vfdb	WP_011705719	(atsL) Type VI secretion system protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	3186710	3188476	-	atsH	1-1767/1767	========/======	2/4	99.89	80.33	vfdb	WP_011705715	(atsH) Type VI secretion system protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	3188917	3190395	-	vipB	1-1479/1479	========/======	3/8	99.73	83.48	vfdb	WP_043163044	(vipB) Type VI secretion system contractile sheath large subunit TssC/VipB [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	3214837	3215355	-	hcp	1-519/519	===============	0/0	100.00	85.74	vfdb	WP_011705706	(hcp) hemolysin co-regulated protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	3347288	3347727	+	fur	1-440/453	===============	0/0	97.13	81.82	vfdb	NP_459678	(fur) ferric iron uptake transcriptional regulator [Fur (VF0113) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/work/inputs/D_chrysanthemi_000023565_1.fna	NC_012912.1	3433734	3434384	+	rcsB	1-651/651	========/======	4/8	99.39	80.76	vfdb	WP_002913007	(rcsB) transcriptional regulator RcsB [RcsAB (VF0571) - Regulation (VFC0301)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
