#Taxon_ID	Increase	Decrease
<270>	0	2
<484>	0	1
GCF_012278555.1<5>	0	2
GCF_000023565.1<1>	1	0
GCF_022748125.1<207>	0	1
<271>	0	1
<273>	0	1
GCF_000400525.1<17>	0	1
GCF_021614775.1<19>	1	1
GCF_019464635.1<8>	0	2
GCF_020406575.2<15>	0	1
GCF_000404105.1<22>	0	1
GCF_054589655.1<26>	0	2
GCF_026891295.1<116>	0	2
<282>	0	1
GCF_038396405.1<10>	1	0
<290>	0	1
GCF_019444095.1<6>	1	1
GCF_023212925.1<28>	1	1
GCF_051783785.1<24>	1	1
GCF_002887555.1<18>	1	1
GCF_000382585.2<9>	1	0
GCF_024124775.1<7>	0	2
GCF_026891395.1<114>	0	2
<309>	0	1
GCF_000406325.1<14>	0	1
GCF_021614795.1<16>	1	1
GCF_025643375.1<73>	1	0
GCF_020406675.1<72>	0	1
GCF_026891515.1<122>	0	1
GCF_001187965.2<218>	1	1
GCF_000816045.1<21>	0	1
GCF_020406815.2<34>	1	0
GCF_000264075.1<20>	0	1
GCF_024124785.1<27>	0	1
GCF_009372235.1<23>	0	1
GCF_037136455.1<255>	1	1
GCF_037135635.1<256>	0	1
<506>	0	1
GCF_022385255.1<229>	1	1
GCF_054589815.1<30>	0	1
GCF_020406775.2<254>	1	0
GCF_040257575.1<231>	1	0
<497>	0	1
<303>	0	2
GCF_012278405.1<25>	1	0
<299>	0	1
GCF_000784735.1<237>	1	0
<490>	0	1
GCF_000400565.1<107>	0	1
GCF_000400795.1<75>	0	1
GCF_017897245.1<33>	1	0
GCF_000406225.1<36>	0	1
<307>	1	1
GCF_020406685.2<35>	1	0
<313>	0	1
GCF_038739125.1<42>	0	1
GCF_045677265.1<43>	0	1
GCF_013168485.1<68>	0	1
GCF_013168465.1<52>	1	1
GCF_030168535.1<49>	1	0
GCF_000406145.1<57>	1	1
GCF_023507855.1<56>	1	1
GCF_041897765.1<59>	1	0
GCF_013168495.1<55>	0	1
GCF_001995275.1<50>	0	2
GCF_045677275.1<44>	0	1
GCF_017897305.1<37>	1	1
GCF_017897585.1<38>	0	4
GCF_000406265.1<61>	0	1
GCF_013168575.1<62>	1	1
GCF_041897775.1<60>	1	1
GCF_013168475.1<53>	0	1
GCF_013168455.1<67>	0	1
GCF_022748555.1<141>	1	0
<411>	0	1
<346>	0	1
GCF_022748425.1<137>	0	1
<338>	0	1
GCF_017656535.1<228>	0	1
<496>	1	1
GCF_018904205.1<71>	1	0
GCF_045277095.1<235>	1	0
GCF_022748105.1<210>	0	1
GCF_051783845.1<70>	1	0
GCF_009874405.1<89>	0	2
GCF_009873555.1<100>	0	2
GCF_019739115.1<252>	0	1
GCF_051783865.1<253>	0	1
GCF_022747985.1<133>	1	0
GCF_032681045.1<124>	1	0
GCF_016404885.1<81>	0	1
GCF_026891405.1<113>	0	2
GCF_016404895.1<77>	0	1
<517>	0	1
GCF_000406105.1<251>	1	1
GCF_022748065.1<196>	0	1
GCF_022750655.1<188>	0	1
GCF_016106685.1<151>	0	2
GCF_016106815.1<167>	0	2
GCF_030370035.1<260>	0	2
GCF_037136815.1<261>	0	1
<478>	0	1
GCF_000406185.1<69>	1	0
GCF_016106785.1<186>	0	2
GCF_016106855.1<155>	0	2
<404>	0	1
GCF_016106885.1<166>	0	1
<396>	0	2
<509>	0	6
GCF_000803195.1<236>	1	0
GCF_022747745.1<139>	0	1
<389>	1	1
GCF_009874395.1<84>	0	2
GCF_016404945.1<80>	0	2
GCF_022747785.1<144>	0	1
GCF_016106985.1<187>	0	2
GCF_003595005.1<189>	0	1
GCF_026891415.1<115>	0	2
GCF_003595075.1<194>	0	1
GCF_022748025.1<136>	1	0
<515>	0	8
GCF_003725575.1<238>	0	2
GCF_003121805.1<195>	0	1
GCF_016106895.1<153>	0	2
GCF_003725615.1<239>	0	3
GCF_022747725.1<191>	0	1
GCF_022748085.1<192>	0	1
GCF_016106935.1<178>	0	1
GCF_022748525.1<143>	0	1
GCF_016106795.1<159>	0	2
GCF_022747755.1<146>	0	1
GCF_000406245.1<262>	1	0
GCF_022748465.1<147>	0	2
GCF_009873535.1<145>	0	2
GCF_022871065.1<190>	1	0
GCF_029320885.1<230>	1	0
GCF_053502525.1<232>	1	1
<503>	0	1
GCF_016106695.1<163>	0	2
GCF_016106945.1<162>	0	1
GCF_016106725.1<156>	0	2
<483>	1	0
GCF_030544745.1<213>	1	1
GCF_000406205.1<212>	1	1
GCF_016106925.1<170>	0	2
GCF_016106715.1<150>	0	2
GCF_016106805.1<158>	0	2
GCF_000406065.1<257>	0	1
GCF_000784725.1<258>	0	2
GCF_007210685.1<259>	1	1
GCF_009873225.2<227>	1	1
GCF_016106995.1<175>	0	2
<512>	0	2
GCF_051783765.1<240>	0	2
GCF_009873515.1<200>	0	1
GCF_009874325.1<201>	1	0
GCF_022747825.1<193>	0	1
GCF_037135575.1<205>	0	2
