Gene	Annotation	Naive_p	Bonferroni_p	Sensitivity	Specificity	Odds_ratio
group_10132	Acyl carrier protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22044	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22040	Mannosyl-3-phosphoglycerate phosphatase	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22039	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22035	Protein YobA	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22031	HTH-type transcriptional repressor RspR	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22030	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22045	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22029	2-amino-5-chloromuconic acid deaminase	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22027	Fosfomycin resistance protein AbaF	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22009	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22008	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22007	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22006	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22004	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22028	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22050	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22051	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22054	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_4058	Glucuronoxylanase XynC	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_26718	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22076	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22075	Sec-independent protein translocase protein TatB	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
dosP	Oxygen sensor protein DosP	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22073	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22071	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22070	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
group_22069	hypothetical protein	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
adhT	Alcohol dehydrogenase	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
yybR_4	putative HTH-type transcriptional regulator YybR	1.3223527950692026e-55	4.5216531474596313e-51	100.0	100.0	inf
