#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/work/inputs/D_dadantii_003049785_1.fna	NZ_CP023467.1	923522	924040	-	hcp1	1-519/519	===============	0/0	100.00	86.32	vfdb	WP_011705044	(hcp1) HcpA-like protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_dadantii_003049785_1.fna	NZ_CP023467.1	1289135	1289785	-	rcsB	1-651/651	===============	0/0	100.00	82.64	vfdb	WP_002913007	(rcsB) transcriptional regulator RcsB [RcsAB (VF0571) - Regulation (VFC0301)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/work/inputs/D_dadantii_003049785_1.fna	NZ_CP023467.1	1376134	1376568	-	fur	1-435/453	===============	0/0	96.03	81.84	vfdb	NP_459678	(fur) ferric iron uptake transcriptional regulator [Fur (VF0113) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/work/inputs/D_dadantii_003049785_1.fna	NZ_CP023467.1	1518730	1519248	+	hcp1	1-519/519	===============	0/0	100.00	85.16	vfdb	WP_011705044	(hcp1) HcpA-like protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_dadantii_003049785_1.fna	NZ_CP023467.1	1537036	1538514	+	vipB	1-1479/1479	===============	0/0	100.00	84.11	vfdb	WP_043163044	(vipB) Type VI secretion system contractile sheath large subunit TssC/VipB [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_dadantii_003049785_1.fna	NZ_CP023467.1	1538955	1540719	+	atsH	1-1765/1767	===============	0/0	99.89	80.34	vfdb	WP_011705715	(atsH) Type VI secretion system protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_dadantii_003049785_1.fna	NZ_CP023467.1	1543454	1544789	+	atsL	1-1333/1335	========/======	3/7	99.70	81.09	vfdb	WP_011705719	(atsL) Type VI secretion system protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_dadantii_003049785_1.fna	NZ_CP023467.1	1949532	1950050	-	hcp	1-519/519	===============	0/0	100.00	85.55	vfdb	WP_011705706	(hcp) hemolysin co-regulated protein [T6SS (VF0480) - Effector delivery system (VFC0086)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	
/work/inputs/D_dadantii_003049785_1.fna	NZ_CP023467.1	3174348	3174737	-	cheY	1-390/390	===============	0/0	100.00	80.51	vfdb	WP_005164479	(cheY) chemotaxis regulatory protein CheY [Flagella (VF0394) - Motility (VFC0204)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
/work/inputs/D_dadantii_003049785_1.fna	NZ_CP023467.1	3883835	3884826	-	rpoS	2-993/993	===============	0/0	99.90	81.86	vfdb	NP_461845	(rpoS) RNA polymerase sigma factor RpoS [RpoS (VF0112) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
